epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.1174,1.52625,2.40588,1.36405,0.38872,0.4324,0.36496,0.20858,1.51884,2.32102,1.32087,0.00033033,0.00033033,0.0672973
2,46.8315,1.47935,1.72964,1.31687,0.47213,0.57322,0.47175,0.26452,1.38177,1.5073,1.1776,0.000657093,0.000657093,0.0342907
3,60.5402,1.43312,1.56663,1.28474,0.77599,0.65955,0.70556,0.44076,1.19921,1.16162,1.08066,0.000977256,0.000977256,0.00127756
4,74.1613,1.42608,1.40365,1.29889,0.79381,0.70657,0.79848,0.48483,1.26005,1.12676,1.09897,0.0009703,0.0009703,0.0009703
5,87.8838,1.38001,1.26125,1.26919,0.8197,0.78771,0.85422,0.58171,1.07207,0.93015,1.02678,0.0009604,0.0009604,0.0009604
6,101.543,1.38524,1.20463,1.26047,0.81635,0.8042,0.86159,0.57046,1.13646,0.92149,1.08021,0.0009505,0.0009505,0.0009505
7,115.194,1.33051,1.14898,1.24507,0.90626,0.77721,0.88918,0.61742,0.99308,0.75694,0.99775,0.0009406,0.0009406,0.0009406
8,128.846,1.31822,1.12426,1.24371,0.93273,0.81443,0.89385,0.62457,0.99892,0.77373,0.99387,0.0009307,0.0009307,0.0009307
9,142.435,1.30422,1.05934,1.22198,0.87623,0.81539,0.89315,0.64367,1.0066,0.70098,0.99968,0.0009208,0.0009208,0.0009208
10,156.074,1.27201,1.0324,1.19898,0.87868,0.83042,0.89553,0.64724,0.96094,0.68539,0.98923,0.0009109,0.0009109,0.0009109
11,169.688,1.26457,0.97908,1.19504,0.93075,0.82822,0.91739,0.66076,0.91351,0.6425,0.97786,0.000901,0.000901,0.000901
12,183.392,1.24676,0.97974,1.20071,0.90362,0.88232,0.92325,0.64134,0.95696,0.72625,0.98353,0.0008911,0.0008911,0.0008911
13,197.085,1.26272,0.97511,1.21732,0.92934,0.8752,0.93754,0.68258,0.93575,0.63408,0.98114,0.0008812,0.0008812,0.0008812
14,210.806,1.22121,0.92867,1.18577,0.9074,0.88429,0.92589,0.6893,0.89591,0.63278,0.95569,0.0008713,0.0008713,0.0008713
15,224.504,1.21318,0.91309,1.17833,0.89734,0.90112,0.93362,0.67252,0.91524,0.61207,0.96465,0.0008614,0.0008614,0.0008614
16,238.17,1.21996,0.91742,1.18346,0.9505,0.87144,0.94042,0.68536,0.89357,0.5912,0.96077,0.0008515,0.0008515,0.0008515
17,251.806,1.19157,0.87266,1.1592,0.91976,0.90276,0.92802,0.65431,0.97838,0.57638,0.9754,0.0008416,0.0008416,0.0008416
18,265.466,1.18605,0.88509,1.16948,0.93791,0.87445,0.9406,0.69154,0.91523,0.57641,0.96711,0.0008317,0.0008317,0.0008317
19,279.131,1.16448,0.85813,1.14646,0.94393,0.89556,0.94945,0.69342,0.90217,0.56117,0.95898,0.0008218,0.0008218,0.0008218
20,292.905,1.16177,0.86849,1.14281,0.95264,0.8931,0.95272,0.68014,0.93283,0.58263,0.9713,0.0008119,0.0008119,0.0008119
21,306.649,1.15097,0.83758,1.15559,0.91984,0.89729,0.94248,0.70743,0.85783,0.53927,0.93729,0.000802,0.000802,0.000802
22,320.425,1.13955,0.85423,1.14676,0.88442,0.91141,0.93521,0.68909,0.87987,0.57395,0.94098,0.0007921,0.0007921,0.0007921
23,334.191,1.13755,0.81276,1.13562,0.90936,0.90598,0.94861,0.71711,0.84563,0.52795,0.93843,0.0007822,0.0007822,0.0007822
24,347.803,1.13253,0.80727,1.13441,0.89389,0.86327,0.91988,0.6958,0.84144,0.58535,0.93028,0.0007723,0.0007723,0.0007723
25,361.463,1.11039,0.78941,1.12371,0.94473,0.89366,0.95289,0.70644,0.93339,0.52052,0.94897,0.0007624,0.0007624,0.0007624
26,375.135,1.09675,0.76873,1.11346,0.93361,0.91653,0.94922,0.71055,0.87146,0.53885,0.9315,0.0007525,0.0007525,0.0007525
27,388.853,1.08056,0.78039,1.11017,0.96594,0.91565,0.95944,0.71974,0.85228,0.50865,0.92878,0.0007426,0.0007426,0.0007426
28,402.55,1.09307,0.7776,1.11766,0.90014,0.89598,0.94337,0.7117,0.90435,0.55518,0.95586,0.0007327,0.0007327,0.0007327
29,416.218,1.10628,0.80112,1.12965,0.92535,0.89127,0.94658,0.69939,0.90857,0.55127,0.94925,0.0007228,0.0007228,0.0007228
30,429.952,1.08835,0.76226,1.11271,0.93279,0.90178,0.9568,0.73253,0.85507,0.50163,0.93493,0.0007129,0.0007129,0.0007129
31,443.659,1.11024,0.76023,1.12253,0.95214,0.91477,0.95867,0.72949,0.84662,0.49474,0.93242,0.000703,0.000703,0.000703
32,457.506,1.07312,0.75544,1.11007,0.93795,0.91325,0.96348,0.73319,0.84556,0.49625,0.93302,0.0006931,0.0006931,0.0006931
33,471.274,1.05896,0.74601,1.09595,0.96726,0.91647,0.97338,0.742,0.81918,0.4759,0.92154,0.0006832,0.0006832,0.0006832
34,484.759,1.05216,0.7207,1.10256,0.96903,0.92028,0.96639,0.7415,0.80445,0.46725,0.92132,0.0006733,0.0006733,0.0006733
35,498.078,1.06518,0.72994,1.10134,0.95472,0.91082,0.95169,0.73811,0.81029,0.48674,0.91705,0.0006634,0.0006634,0.0006634
36,511.406,1.05841,0.71463,1.10178,0.9489,0.92426,0.95603,0.73913,0.83572,0.47572,0.9235,0.0006535,0.0006535,0.0006535
37,524.72,1.06546,0.72283,1.11369,0.93297,0.91371,0.95621,0.74111,0.80007,0.47331,0.917,0.0006436,0.0006436,0.0006436
38,538.14,1.0244,0.69785,1.07549,0.94432,0.91847,0.96299,0.74351,0.82386,0.4523,0.91337,0.0006337,0.0006337,0.0006337
39,551.525,1.0466,0.69326,1.09344,0.96211,0.90573,0.96581,0.73581,0.80535,0.47549,0.91316,0.0006238,0.0006238,0.0006238
40,564.875,1.00265,0.6882,1.07997,0.95498,0.93826,0.96434,0.74618,0.81718,0.45801,0.91787,0.0006139,0.0006139,0.0006139
41,578.235,1.01469,0.68344,1.08389,0.95213,0.93986,0.96744,0.73508,0.81283,0.44882,0.91733,0.000604,0.000604,0.000604
42,591.586,1.01106,0.67113,1.07178,0.95404,0.94351,0.97877,0.74278,0.80056,0.44369,0.91186,0.0005941,0.0005941,0.0005941
43,604.94,0.99897,0.67592,1.07472,0.96534,0.90391,0.97034,0.74592,0.802,0.43799,0.9112,0.0005842,0.0005842,0.0005842
44,618.289,0.98071,0.65266,1.06303,0.97105,0.92632,0.97507,0.76109,0.79251,0.43131,0.90991,0.0005743,0.0005743,0.0005743
45,631.706,0.99329,0.66637,1.07298,0.97845,0.92178,0.97166,0.75404,0.8149,0.43215,0.91552,0.0005644,0.0005644,0.0005644
46,645.069,0.99754,0.65847,1.06975,0.97302,0.92468,0.97468,0.74592,0.80778,0.43836,0.90856,0.0005545,0.0005545,0.0005545
47,658.432,0.97642,0.65674,1.05816,0.93243,0.93215,0.96966,0.73762,0.83484,0.46405,0.91371,0.0005446,0.0005446,0.0005446
48,671.799,0.98118,0.66293,1.06337,0.95677,0.92182,0.97294,0.75376,0.8105,0.43258,0.90992,0.0005347,0.0005347,0.0005347
49,685.178,0.97777,0.64071,1.05977,0.96943,0.92271,0.97243,0.74921,0.79244,0.4425,0.90479,0.0005248,0.0005248,0.0005248
50,699.033,0.96572,0.63336,1.05609,0.97824,0.92099,0.96762,0.75185,0.82099,0.43682,0.91004,0.0005149,0.0005149,0.0005149
51,713.003,0.96111,0.63497,1.04581,0.96458,0.92475,0.97153,0.7579,0.77691,0.42049,0.89882,0.000505,0.000505,0.000505
52,726.766,0.96693,0.6284,1.0539,0.95446,0.93446,0.96895,0.75857,0.79412,0.43229,0.9038,0.0004951,0.0004951,0.0004951
53,740.374,0.94811,0.6308,1.03879,0.96853,0.92031,0.97755,0.76201,0.79128,0.42188,0.90122,0.0004852,0.0004852,0.0004852
54,753.889,0.95921,0.62641,1.0536,0.95424,0.92712,0.97528,0.75595,0.77869,0.42858,0.89762,0.0004753,0.0004753,0.0004753
55,767.745,0.93476,0.6032,1.04048,0.96356,0.93271,0.96832,0.75001,0.79027,0.43165,0.90003,0.0004654,0.0004654,0.0004654
56,781.191,0.922,0.60604,1.03872,0.94368,0.92709,0.9602,0.74963,0.78337,0.44976,0.90197,0.0004555,0.0004555,0.0004555
57,794.586,0.95537,0.61199,1.04643,0.94144,0.9276,0.96564,0.7483,0.78968,0.43143,0.90078,0.0004456,0.0004456,0.0004456
58,807.968,0.92022,0.60257,1.0374,0.97485,0.92991,0.96844,0.75849,0.78108,0.41412,0.90228,0.0004357,0.0004357,0.0004357
59,821.391,0.92739,0.61175,1.04025,0.97238,0.92701,0.96911,0.76281,0.77649,0.42076,0.8954,0.0004258,0.0004258,0.0004258
60,834.783,0.92337,0.60881,1.0377,0.96597,0.92648,0.96171,0.76148,0.7574,0.41675,0.89026,0.0004159,0.0004159,0.0004159
61,848.23,0.91773,0.58464,1.02595,0.96967,0.92115,0.97571,0.7616,0.7717,0.41343,0.89645,0.000406,0.000406,0.000406
62,861.641,0.93933,0.60709,1.04288,0.95863,0.90954,0.96579,0.76117,0.78551,0.41932,0.90387,0.0003961,0.0003961,0.0003961
63,875.008,0.89434,0.57999,1.02368,0.96914,0.90583,0.9583,0.75903,0.77285,0.42122,0.89288,0.0003862,0.0003862,0.0003862
64,888.322,0.90644,0.5768,1.03024,0.96462,0.92216,0.96565,0.76619,0.75919,0.40756,0.89005,0.0003763,0.0003763,0.0003763
65,901.735,0.89999,0.58787,1.02937,0.9656,0.91593,0.96,0.75921,0.75807,0.41389,0.8935,0.0003664,0.0003664,0.0003664
66,915.18,0.86699,0.55566,1.01209,0.97517,0.91104,0.96326,0.75712,0.7704,0.40047,0.89634,0.0003565,0.0003565,0.0003565
67,928.552,0.90945,0.57669,1.03257,0.96226,0.91589,0.95884,0.76142,0.75231,0.41415,0.88873,0.0003466,0.0003466,0.0003466
68,941.92,0.88894,0.57691,1.01743,0.96829,0.93124,0.97042,0.75714,0.76539,0.40825,0.89066,0.0003367,0.0003367,0.0003367
69,955.291,0.86997,0.54245,1.01175,0.97045,0.93003,0.95837,0.77281,0.74943,0.40031,0.88548,0.0003268,0.0003268,0.0003268
70,968.69,0.88277,0.56029,1.00705,0.96811,0.91661,0.95815,0.76299,0.75317,0.40815,0.8889,0.0003169,0.0003169,0.0003169
71,982.118,0.86554,0.55269,1.01148,0.9512,0.92377,0.96576,0.76881,0.74764,0.40819,0.88925,0.000307,0.000307,0.000307
72,995.51,0.87329,0.55781,1.01637,0.9607,0.92668,0.96718,0.76939,0.74096,0.39986,0.88801,0.0002971,0.0002971,0.0002971
73,1008.81,0.86156,0.55291,1.00904,0.95182,0.93071,0.9702,0.7712,0.7621,0.40453,0.89314,0.0002872,0.0002872,0.0002872
74,1022.25,0.85056,0.54345,1.00671,0.96793,0.92554,0.96525,0.76868,0.76735,0.39549,0.89249,0.0002773,0.0002773,0.0002773
75,1035.59,0.84996,0.54421,1.00512,0.97714,0.92019,0.97219,0.76368,0.77145,0.39707,0.89708,0.0002674,0.0002674,0.0002674
76,1049,0.85788,0.54718,1.00634,0.96826,0.91742,0.96401,0.7729,0.73198,0.39198,0.88291,0.0002575,0.0002575,0.0002575
77,1062.4,0.84152,0.53591,1.00087,0.97291,0.92843,0.96295,0.77456,0.75339,0.40205,0.89065,0.0002476,0.0002476,0.0002476
78,1075.84,0.84667,0.52939,0.99642,0.9763,0.93621,0.9702,0.77607,0.74415,0.3868,0.88757,0.0002377,0.0002377,0.0002377
79,1089.25,0.82967,0.52928,0.99463,0.96818,0.92556,0.96067,0.7759,0.76322,0.39956,0.89293,0.0002278,0.0002278,0.0002278
80,1102.66,0.82489,0.51919,0.9956,0.95742,0.92129,0.96417,0.77421,0.74612,0.39463,0.88793,0.0002179,0.0002179,0.0002179
81,1116.01,0.83325,0.5235,0.99646,0.95269,0.92351,0.96414,0.7689,0.735,0.39845,0.88619,0.000208,0.000208,0.000208
82,1129.45,0.81678,0.51562,0.98582,0.94605,0.90844,0.96336,0.76984,0.73465,0.41366,0.8831,0.0001981,0.0001981,0.0001981
83,1142.9,0.82305,0.51364,0.99432,0.96502,0.92644,0.97066,0.76999,0.74506,0.39022,0.88707,0.0001882,0.0001882,0.0001882
84,1156.25,0.82419,0.50714,0.99238,0.9624,0.92605,0.96732,0.7775,0.73573,0.39512,0.88591,0.0001783,0.0001783,0.0001783
85,1169.64,0.80197,0.50933,0.9848,0.96117,0.94028,0.97003,0.77359,0.74546,0.39075,0.88527,0.0001684,0.0001684,0.0001684
86,1183,0.81562,0.49652,0.98734,0.97294,0.91267,0.97136,0.77459,0.73591,0.39349,0.88359,0.0001585,0.0001585,0.0001585
87,1196.46,0.77979,0.50378,0.98177,0.98639,0.93351,0.97148,0.77268,0.74304,0.38383,0.88458,0.0001486,0.0001486,0.0001486
88,1217.58,0.78004,0.47714,0.97509,0.97572,0.93476,0.9646,0.778,0.73662,0.37591,0.88178,0.0001387,0.0001387,0.0001387
89,1240.3,0.78757,0.49681,0.98503,0.97954,0.92786,0.96694,0.77766,0.73432,0.38093,0.88333,0.0001288,0.0001288,0.0001288
